county,raceChar,pleaSuccess,n,prop_white,prop_nwhite,div_prop,effect,CTY_NAME
1,White,1,781,0.754589372,0.669811321,1.126570048,0.084778051,Aitkin
2,White,1,9465,0.826781971,0.773336772,1.069109864,0.053445199,Anoka
3,White,1,1076,0.755087719,0.683383234,1.104925732,0.071704486,Becker
4,White,1,1203,0.78422425,0.759330144,1.032784299,0.024894107,Beltrami
5,White,1,1467,0.737927565,0.6256,1.179551735,0.112327565,Benton
6,White,1,133,0.81097561,0.6,1.351626016,0.21097561,Big Stone
7,White,1,2095,0.806079261,0.745676501,1.081003975,0.060402761,Blue Earth
8,White,1,606,0.798418972,0.641891892,1.243852715,0.15652708,Brown
9,White,1,1202,0.826685007,0.778135048,1.062392715,0.048549959,Carlton
10,White,1,1640,0.83375699,0.754039497,1.10572058,0.079717493,Carver
11,White,1,729,0.800219539,0.749832776,1.067197333,0.050386763,Cass
12,White,1,318,0.67230444,0.601036269,1.11857549,0.07126817,Chippewa
13,White,1,1746,0.772908367,0.594936709,1.29914385,0.177971658,Chisago
14,White,1,1953,0.744567289,0.679375,1.095959212,0.065192289,Clay
15,White,1,228,0.737864078,0.727626459,1.014069882,0.010237619,Clearwater
16,White,1,103,0.851239669,0.814814815,1.044703231,0.036424855,Cook
17,White,1,402,0.791338583,0.744444444,1.062992126,0.046894138,Cottonwood
18,White,1,2568,0.770939658,0.731511254,1.053899928,0.039428404,Crow Wing
19,White,1,10312,0.81776368,0.775177763,1.054936968,0.042585916,Dakota
20,White,1,487,0.737878788,0.555555556,1.328181818,0.182323232,Dodge
21,White,1,1164,0.752910737,0.713513514,1.055215806,0.039397224,Douglas
22,White,1,488,0.798690671,0.724137931,1.102953784,0.07455274,Faribault
23,White,1,381,0.754455446,0.755555556,0.998543972,-0.00110011,Fillmore
24,White,1,1056,0.80060652,0.729292929,1.097784564,0.071313591,Freeborn
25,White,1,1680,0.842105263,0.788352273,1.068183973,0.05375299,Goodhue
26,White,1,139,0.759562842,0.8,0.949453552,-0.040437158,Grant
27,White,1,15980,0.783410138,0.681738495,1.14913584,0.101671643,Hennepin
28,White,1,579,0.862891207,0.75,1.15052161,0.112891207,Houston
29,White,1,626,0.761557178,0.75,1.01540957,0.011557178,Hubbard
30,White,1,1594,0.801407743,0.761538462,1.052353601,0.039869281,Isanti
31,White,1,1955,0.752212389,0.71863581,1.046722664,0.033576579,Itasca
32,White,1,299,0.753148615,0.678899083,1.109367554,0.074249532,Jackson
33,White,1,918,0.767558528,0.682352941,1.124870257,0.085205587,Kanabec
34,White,1,1123,0.75724882,0.71942446,1.05257586,0.03782436,Kandiyohi
35,White,1,110,0.866141732,0.857142857,1.010498688,0.008998875,Kittson
36,White,1,423,0.798113208,0.771428571,1.034591195,0.026684636,Koochiching
37,White,1,123,0.736526946,0.666666667,1.104790419,0.069860279,Lac Qui Parle
38,White,1,356,0.833723653,0.72,1.157949519,0.113723653,Lake
39,White,1,132,0.862745098,0.761904762,1.132352941,0.100840336,Lake of the Woods
40,White,1,532,0.686451613,0.569620253,1.205103943,0.11683136,LeSueur
41,White,1,112,0.823529412,0.833333333,0.988235294,-0.009803922,Lincoln
42,White,1,841,0.810211946,0.766467066,1.057073398,0.04374488,Lyon
43,White,1,1463,0.838876147,0.767386091,1.093160479,0.071490056,McLeod
44,White,1,156,0.746411483,0.734995383,1.015532206,0.0114161,Mahnomen
45,White,1,242,0.75862069,0.631578947,1.201149425,0.127041742,Marshall
46,White,1,1004,0.786217698,0.733031674,1.072556242,0.053186024,Martin
47,White,1,561,0.719230769,0.643564356,1.117573964,0.075666413,Meeker
48,White,1,1149,0.752948886,0.633303003,1.1889236,0.119645883,Mille Lacs
49,White,1,1298,0.766233766,0.700980392,1.093088729,0.065253374,Morrison
50,White,1,1348,0.74106652,0.71838565,1.031571997,0.02268087,Mower
51,White,1,222,0.798561151,0.704545455,1.133441634,0.094015697,Murray
52,White,1,592,0.753180662,0.712,1.057838008,0.041180662,Nicollet
53,White,1,533,0.803921569,0.779184248,1.031747717,0.024737321,Nobles
54,White,1,221,0.780918728,0.670886076,1.164010934,0.110032652,Norman
55,White,1,3743,0.766066312,0.645762186,1.18629788,0.120304126,Olmsted
56,White,1,1893,0.788421491,0.72705314,1.084406968,0.061368351,Otter Tail
57,White,1,670,0.79667063,0.717314488,1.110629499,0.079356143,Pennington
58,White,1,1445,0.732758621,0.764705882,0.958222812,-0.031947262,Pine
59,White,1,280,0.795454545,0.635416667,1.251862891,0.160037879,Pipestone
60,White,1,1675,0.671342685,0.61860855,1.085246374,0.052734135,Polk
61,White,1,235,0.732087227,0.458333333,1.597281223,0.273753894,Pope
62,White,1,10559,0.774574531,0.696470283,1.112142972,0.078104248,Ramsey
63,White,1,123,0.773584906,0.775510204,0.997517378,-0.001925298,Red Lake
64,White,1,687,0.821770335,0.722426471,1.137514153,0.099343864,Redwood
65,White,1,404,0.7890625,0.743961353,1.060622971,0.045101147,Renville
66,White,1,1560,0.793489318,0.677233429,1.171662951,0.116255889,Rice
67,White,1,128,0.795031056,0.76744186,1.035949558,0.027589195,Rock
68,White,1,538,0.830246914,0.804733728,1.031703885,0.025513186,Roseau
69,White,1,7767,0.818095639,0.733349963,1.115559666,0.084745677,St. Louis
70,White,1,3334,0.799904031,0.738611714,1.082983137,0.061292317,Scott
71,White,1,2731,0.772997453,0.619942197,1.246886334,0.153055256,Sherburne
72,White,1,399,0.798,0.733766234,1.087539823,0.064233766,Sibley
73,White,1,4756,0.734630831,0.628947368,1.168032284,0.105683463,Stearns
74,White,1,1116,0.756097561,0.613149847,1.233136671,0.142947714,Steele
75,White,1,149,0.680365297,0.616666667,1.103295076,0.06369863,Stevens
76,White,1,222,0.718446602,0.637362637,1.127217944,0.081083965,Swift
77,White,1,623,0.739904988,0.737288136,1.003549294,0.002616853,Todd
78,White,1,78,0.757281553,0.695652174,1.088592233,0.061629379,Traverse
79,White,1,645,0.827984596,0.75862069,1.09143424,0.069363906,Wabasha
80,White,1,616,0.739495798,0.642335766,1.151260504,0.097160032,Wadena
