fullname,raceChar,pleaSuccess,n,prop
Aandal Donald J.,Non-white,0,83,0.30514705882352944
Aandal Donald J.,Non-white,1,189,0.6948529411764706
Aandal Donald J.,White,0,131,0.24125230202578268
Aandal Donald J.,White,1,412,0.7587476979742173
Aanes Patricia A.,Non-white,0,3,0.1875
Aanes Patricia A.,Non-white,1,13,0.8125
Aanes Patricia A.,White,0,15,0.36585365853658536
Aanes Patricia A.,White,1,26,0.6341463414634146
Abrams Jerome B.,Non-white,0,74,0.26148409893992935
Abrams Jerome B.,Non-white,1,209,0.7385159010600707
Abrams Jerome B.,White,0,84,0.21265822784810126
Abrams Jerome B.,White,1,311,0.7873417721518987
Abrams Ronald L.,Non-white,0,5,0.45454545454545453
Abrams Ronald L.,Non-white,1,6,0.5454545454545454
Abrams Ronald L.,White,0,3,0.42857142857142855
Abrams Ronald L.,White,1,4,0.5714285714285714
Ackerson David E.,Non-white,0,25,0.18248175182481752
Ackerson David E.,Non-white,1,112,0.8175182481751825
Ackerson David E.,White,0,210,0.189873417721519
Ackerson David E.,White,1,896,0.810126582278481
Agerter Lawrence E.,Non-white,0,34,0.4722222222222222
Agerter Lawrence E.,Non-white,1,38,0.5277777777777778
Agerter Lawrence E.,White,0,86,0.27044025157232704
Agerter Lawrence E.,White,1,232,0.7295597484276729
Ahles Richard J.,Non-white,0,11,0.3055555555555556
Ahles Richard J.,Non-white,1,25,0.6944444444444444
Ahles Richard J.,White,0,29,0.21641791044776118
Ahles Richard J.,White,1,105,0.7835820895522388
Albertson Howard R.,White,1,2,1
Albrecht H. Peter,Non-white,0,226,0.3445121951219512
Albrecht H. Peter,Non-white,1,430,0.6554878048780488
Albrecht H. Peter,White,0,85,0.25449101796407186
Albrecht H. Peter,White,1,249,0.7455089820359282
Albrecht Peter,Non-white,1,1,1
Aldrich Stephen C.,Non-white,0,4,0.21052631578947367
Aldrich Stephen C.,Non-white,1,15,0.7894736842105263
Aldrich Stephen C.,White,0,4,0.4444444444444444
Aldrich Stephen C.,White,1,5,0.5555555555555556
Alexander Pamela,Non-white,0,1,1
Alexander Pamela G.,Non-white,0,176,0.31040564373897706
Alexander Pamela G.,Non-white,1,391,0.689594356261023
Alexander Pamela G.,White,0,70,0.1917808219178082
Alexander Pamela G.,White,1,295,0.8082191780821918
"Aligada, Jr. Reynaldo A.",Non-white,1,1,1
Allen Jacob C.,Non-white,0,9,0.34615384615384615
Allen Jacob C.,Non-white,1,17,0.6538461538461539
Allen Jacob C.,White,0,9,0.28125
Allen Jacob C.,White,1,23,0.71875
Alshouse Diane,Non-white,1,1,1
Alshouse Diane,White,1,1,1
Alshouse Diane R.,Non-white,0,153,0.29366602687140114
Alshouse Diane R.,Non-white,1,368,0.7063339731285988
Alshouse Diane R.,White,0,60,0.17647058823529413
Alshouse Diane R.,White,1,280,0.8235294117647058
Alton Ann L.,Non-white,0,19,0.475
Alton Ann L.,Non-white,1,21,0.525
Alton Ann L.,White,0,12,0.5454545454545454
Alton Ann L.,White,1,10,0.45454545454545453
Anderson Catherine L.,Non-white,0,19,0.5
Anderson Catherine L.,Non-white,1,19,0.5
Anderson Catherine L.,White,0,1,0.058823529411764705
Anderson Catherine L.,White,1,16,0.9411764705882353
Anderson Douglas P.,Non-white,0,15,0.189873417721519
Anderson Douglas P.,Non-white,1,64,0.810126582278481
Anderson Douglas P.,White,0,116,0.24628450106157113
Anderson Douglas P.,White,1,355,0.7537154989384289
Anderson Gregory J.,Non-white,0,57,0.228
Anderson Gregory J.,Non-white,1,193,0.772
Anderson Gregory J.,White,0,75,0.20718232044198895
Anderson Gregory J.,White,1,287,0.7928176795580111
Anderson Jamie L.,Non-white,0,188,0.4069264069264069
Anderson Jamie L.,Non-white,1,274,0.5930735930735931
Anderson Jamie L.,White,0,36,0.17647058823529413
Anderson Jamie L.,White,1,168,0.8235294117647058
Anderson Michelle M.,Non-white,0,6,0.2608695652173913
Anderson Michelle M.,Non-white,1,17,0.7391304347826086
Anderson Michelle M.,White,0,12,0.17142857142857143
Anderson Michelle M.,White,1,58,0.8285714285714286
Anderson P. Hunter,Non-white,0,10,0.3225806451612903
Anderson P. Hunter,Non-white,1,21,0.6774193548387096
Anderson P. Hunter,White,0,91,0.1887966804979253
Anderson P. Hunter,White,1,391,0.8112033195020747
Anderson Paul H.,White,1,4,1
Anderson Steven A.,Non-white,0,128,0.34877384196185285
Anderson Steven A.,Non-white,1,239,0.6512261580381471
Anderson Steven A.,White,0,114,0.2620689655172414
Anderson Steven A.,White,1,321,0.7379310344827587
